Record Length,14000
Sample Interval,CH1:0.0000000020000 CH2:0.0000000020000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:2.00 CH2:10.00,,,
Vertical Offset,CH1:0.00 CH2:0.00,,,
Horizontal Units,us,,,
Horizontal Scale,2.0000000000,,,
Model Number,SDS1202X-E,,,
Serial Number,SDS1EBAX1R1121,,,
Software Version,5.1.3.8R2,,,
Source,CH1,CH2
Second,Volt,Volt
 0.00000000000,-0.32000,8.40000
 0.00000000200,-0.32000,8.00000
 0.00000000400,-0.32000,8.00000
 0.00000000600,-0.32000,8.00000
 0.00000000800,-0.32000,8.00000
 0.00000001000,-0.24000,8.00000
 0.00000001200,-0.32000,8.00000
 0.00000001400,-0.24000,8.00000
 0.00000001600,-0.32000,8.00000
 0.00000001800,-0.32000,8.00000
 0.00000002000,-0.24000,8.00000
 0.00000002200,-0.32000,8.40000
 0.00000002400,-0.24000,8.00000
 0.00000002600,-0.24000,8.40000
 0.00000002800,-0.32000,8.00000
 0.00000003000,-0.32000,8.40000
 0.00000003200,-0.32000,8.40000
 0.00000003400,-0.32000,8.00000
 0.00000003600,-0.32000,8.40000
 0.00000003800,-0.32000,8.40000
 0.00000004000,-0.32000,8.40000
 0.00000004200,-0.24000,8.00000
 0.00000004400,-0.24000,8.00000
 0.00000004600,-0.32000,8.00000
 0.00000004800,-0.32000,8.40000
 0.00000005000,-0.32000,8.40000
 0.00000005200,-0.32000,8.00000
 0.00000005400,-0.32000,8.40000
 0.00000005600,-0.32000,8.00000
 0.00000005800,-0.32000,8.00000
 0.00000006000,-0.32000,8.40000
 0.00000006200,-0.32000,8.00000
 0.00000006400,-0.32000,8.40000
 0.00000006600,-0.32000,8.00000
 0.00000006800,-0.32000,8.00000
 0.00000007000,-0.32000,8.00000
 0.00000007200,-0.32000,8.00000
 0.00000007400,-0.24000,8.00000
 0.00000007600,-0.32000,8.00000
 0.00000007800,-0.24000,8.40000
 0.00000008000,-0.32000,8.00000
 0.00000008200,-0.40000,8.00000
 0.00000008400,-0.24000,8.00000
 0.00000008600,-0.24000,8.40000
 0.00000008800,-0.24000,8.40000
 0.00000009000,-0.32000,8.40000
 0.00000009200,-0.24000,8.00000
