Record Length,14000
Sample Interval,CH1:0.0000000020000 CH2:0.0000000020000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:2.00 CH2:10.00,,,
Vertical Offset,CH1:0.00 CH2:0.00,,,
Horizontal Units,us,,,
Horizontal Scale,2.0000000000,,,
Model Number,SDS1202X-E,,,
Serial Number,SDS1EBAX1R1121,,,
Software Version,5.1.3.8R2,,,
Source,CH1,CH2
Second,Volt,Volt
 0.00000033000,4.64000,4.00000
 0.00000033200,4.72000,4.00000
 0.00000033400,4.64000,3.60000
 0.00000033600,4.72000,3.60000
 0.00000033800,4.64000,3.60000
 0.00000034000,4.72000,3.60000
 0.00000034200,4.72000,4.00000
 0.00000034400,4.80000,3.60000
 0.00000034600,4.80000,3.60000
 0.00000034800,4.72000,4.00000
 0.00000035000,4.88000,3.60000
 0.00000035200,4.72000,4.00000
 0.00000035400,4.80000,3.60000
 0.00000035600,4.64000,3.60000
 0.00000035800,4.80000,4.00000
 0.00000036000,4.72000,4.00000
 0.00000036200,4.72000,4.00000
 0.00000036400,4.64000,4.00000
 0.00000036600,4.64000,3.60000
 0.00000036800,4.72000,4.00000
 0.00000037000,4.64000,4.00000
 0.00000037200,4.64000,3.60000
 0.00000037400,4.64000,4.00000
 0.00000037600,4.72000,3.60000
 0.00000037800,4.56000,4.00000
 0.00000038000,4.72000,3.60000
 0.00000038200,4.64000,3.60000
 0.00000038400,4.64000,3.60000
 0.00000038600,4.72000,3.60000
 0.00000038800,4.72000,3.60000
 0.00000039000,4.72000,3.60000
 0.00000039200,4.64000,4.00000
 0.00000039400,4.64000,3.60000
 0.00000039600,4.72000,4.00000
 0.00000039800,4.72000,3.60000
 0.00000040000,4.72000,3.60000
 0.00000040200,4.64000,4.00000
 0.00000040400,4.72000,4.00000
 0.00000040600,4.64000,4.00000
 0.00000040800,4.80000,3.60000
 0.00000041000,4.72000,3.60000
 0.00000041200,4.72000,3.60000
 0.00000041400,4.80000,4.00000
 0.00000041600,4.72000,4.00000
 0.00000041800,4.80000,3.60000
 0.00000042000,4.72000,4.00000
 0.00000042200,4.72000,3.60000
 0.00000042400,4.72000,3.60000
 0.00000042600,4.72000,4.00000
 0.00000042800,4.64000,4.00000
 0.00000043000,4.72000,4.00000
 0.00000043200,4.72000,3.60000
 0.00000043400,4.64000,3.60000
 0.00000043600,4.72000,4.00000
 0.00000043800,4.72000,4.00000
 0.00000044000,4.64000,3.60000
 0.00000044200,4.64000,3.60000
 0.00000044400,4.64000,4.00000
 0.00000044600,4.72000,4.00000
 0.00000044800,4.56000,4.00000
 0.00000045000,4.72000,3.60000
 0.00000045200,4.72000,4.00000
 0.00000045400,4.72000,4.00000
 0.00000045600,4.64000,4.00000
 0.00000045800,4.72000,4.00000
 0.00000046000,4.80000,4.00000
 0.00000046200,4.80000,4.00000
 0.00000046400,4.80000,4.00000
 0.00000046600,4.80000,4.00000
 0.00000046800,4.72000,4.00000
 0.00000047000,4.80000,4.00000
 0.00000047200,4.64000,4.00000
 0.00000047400,4.72000,4.00000
 0.00000047600,4.64000,4.00000
 0.00000047800,4.80000,4.00000
 0.00000048000,4.72000,4.00000
 0.00000048200,4.72000,4.00000
 0.00000048400,4.80000,4.00000
 0.00000048600,4.80000,4.00000
 0.00000048800,4.72000,4.00000
 0.00000049000,4.72000,4.00000
 0.00000049200,4.72000,3.60000
 0.00000049400,4.72000,4.00000
 0.00000049600,4.72000,4.00000
 0.00000049800,4.72000,4.00000
 0.00000050000,4.72000,4.00000
 0.00000050200,4.72000,3.60000
 0.00000050400,4.72000,3.60000
 0.00000050600,4.56000,4.00000
 0.00000050800,4.72000,4.00000
 0.00000051000,4.72000,4.00000
 0.00000051200,4.72000,3.60000
 0.00000051400,4.64000,3.60000
 0.00000051600,4.72000,4.00000
